Nome,Idade,Nacionalidade,Altura,Peso,Modalidade
Alain Prost,68,Francês,1.67,64,Fórmula 1
Alex Morgan,35,Americana,1.7,62,Futebol
Allyson Felix,38,Americana,1.68,55,Atletismo
Amanda Nunes,36,Brasileira,1.73,66,MMA
Anderson Silva,49,Brasileiro,1.88,84,MMA
Andy Murray,37,Britânico,1.91,82,Tênis
Arnold Schwarzenegger,76,Austríaco,1.88,107,Fisiculturismo
Ashleigh Barty,28,Australiana,1.66,62,Tênis
Ayrton Senna,60,Brasileiro,1.8,75,Fórmula 1
Brian Shaw,42,Americano,2.03,195,Strongman
Carissa Moore,32,Americana,1.7,65,Surfe
Carl Lewis,63,Americano,1.88,80,Atletismo
Caster Semenya,33,Sul-Africana,1.78,70,Atletismo
Charles Barkley,60,Americano,1.98,114,Basquete
Chris Froome,38,Britânico,1.86,68,Ciclismo
Clyde Drexler,61,Americano,1.98,102,Basquete
Conor McGregor,35,Irlandês,1.75,70,MMA
Cristiano Ronaldo,38,Portugues,1.87,83,Futebol
Damian Lillard,34,Americano,1.93,91,Basquete
Danica Patrick,42,Americana,1.57,45,Automobilismo
Dennis Rodman,63,Americano,2.01,102,Basquete
Derrick Rose,35,Americano,1.98,93,Basquete
Diego Maradona,60,Argentino,1.65,70,Futebol
Dominic Thiem,31,Austriaco,1.85,79,Tênis
Eddie Hall,36,Britânico,1.9,164,Strongman
Eden Hazard,33,Belga,1.75,80,Futebol
Egan Bernal,27,Colombiano,1.75,60,Ciclismo
Eliud Kipchoge,39,Queniano,1.67,52,Atletismo
Fernando Alonso,43,Espanhol,1.71,68,Fórmula 1
Floyd Mayweather,47,Americano,1.73,68,Boxe
Gabriel Medina,30,Brasileiro,1.8,75,Surfe
Gareth Bale,35,Galês,1.83,74,Futebol
Georges St-Pierre,43,Canadense,1.78,77,MMA
Giannis Antetokounmpo,29,Grego,2.11,110,Basquete
Guga Kuerten,47,Brasileiro,1.9,76,Tênis
Hafthor Bjornsson,35,Islandês,2.06,156,Strongman
Haile Gebrselassie,51,Etiopiano,1.65,56,Atletismo
James Harden,34,Americano,1.96,100,Basquete
Jay Cutler,50,Americano,1.78,122,Fisiculturismo
Jon Jones,36,Americano,1.93,93,MMA
Juan Martin del Potro,36,Argentino,1.98,97,Tênis
Kai Greene,49,Americano,1.73,110,Fisiculturismo
Karl Malone,61,Americano,2.06,120,Basquete
Kawhi Leonard,32,Americano,2.01,102,Basquete
Kelly Slater,52,Americano,1.75,73,Surfe
Kevin Durant,36,Americano,2.08,109,Basquete
Khabib Nurmagomedov,35,Russo,1.78,70,MMA
Kimi Raikkonen,44,Finlandês,1.75,70,Fórmula 1
Kobe Bryant,41,Americano,1.98,96,Basquete
Kylian Mbappé,25,Francês,1.78,73,Futebol
Kyrie Irving,32,Americano,1.91,88,Basquete
Larry Bird,67,Americano,2.06,100,Basquete
Lebron James,39,Americano,2.06,113,Basquete
Lewis Hamilton,39,Britânico,1.74,68,Fórmula 1
Lionel Messi,37,Argentino,1.65,70,Futebol
Magic Johnson,64,Americano,2.06,100,Basquete
Manny Pacquiao,45,Filipino,1.68,66,Boxe
Mariusz Pudzianowski,46,Polonês,1.86,142,Strongman
Mark Cavendish,39,Britânico,1.75,70,Ciclismo
Marta Silva,38,Brasileira,1.63,56,Futebol
Max Verstappen,26,Holandês,1.81,72,Fórmula 1
Megan Rapinoe,39,Americana,1.7,60,Futebol
Michael Jordan,60,Americano,1.98,98,Basquete
Michael Phelps,39,Americano,1.93,88,Natação
Michael Schumacher,55,Alemão,1.74,74,Fórmula 1
Mo Farah,41,Britânico,1.75,58,Atletismo
Mohamed Salah,32,Egípcio,1.75,71,Futebol
Naomi Osaka,26,Japonesa,1.8,69,Tênis
Neymar JR,32,Brasileiro,1.7,70,Futebol
Novak Djokovic,37,Sérvio,1.88,77,Tênis
Patrick Ewing,61,Americano,2.18,113,Basquete
Paul Pogba,31,Francês,1.91,84,Futebol
Pelé,82,Brasileiro,1.73,70,Futebol
Peter Sagan,34,Eslovaco,1.84,73,Ciclismo
Phil Heath,44,Americano,1.75,113,Fisiculturismo
Primoz Roglic,34,Esloveno,1.77,65,Ciclismo
Rafael Nadal,38,Espanhol,1.85,85,Tênis
Roger Federer,42,Suiço,1.85,85,Tênis
Ronaldinho Gaúcho,44,Brasileiro,1.81,80,Futebol
Ronda Rousey,37,Americana,1.7,61,MMA
Ronnie Coleman,59,Americano,1.8,135,Fisiculturismo
Sebastian Vettel,37,Alemão,1.75,66,Fórmula 1
Serena Williams,42,Americana,1.75,70,Tênis
Sergey Bubka,61,Ucraniano,1.83,80,Atletismo
Shaquille O'Neal,52,Americano,2.16,147,Basquete
Simona Halep,32,Romena,1.68,60,Tênis
Simone Biles,27,Americana,1.42,47,Ginástica
Stephanie Gilmore,36,Australiana,1.8,69,Surfe
Stephen Curry,36,Americano,1.98,86,Basquete
Tadej Pogacar,25,Esloveno,1.76,66,Ciclismo
Tiger Woods,48,Americano,1.85,84,Golfe
Tom Brady,46,Americano,1.93,102,Futebol Americano
Usain Bolt,37,Jamaicano,1.95,94,Atletismo
Valentina Shevchenko,36,Quirguistanesa,1.65,57,MMA
Venus Williams,43,Americana,1.85,74,Tênis
Virgil van Dijk,33,Holandês,1.93,92,Futebol
Yelena Isinbayeva,42,Russa,1.74,65,Atletismo
Zinedine Zidane,52,Francês,1.85,80,Futebol
Zlatan Ibrahimović,43,Sueco,1.95,95,Futebol
Ítalo Ferreira,30,Brasileiro,1.68,70,Surfe
